phase,batter,runs,balls,sixes,fours,sr,bpct
Death,MV Boucher,228,145,10,18,157.24137931034483,19.310344827586206
Death,B Sai Sudharsan,227,112,14,19,202.67857142857144,29.464285714285715
Death,SR Tendulkar,224,136,6,28,164.70588235294116,25.0
Death,LR Shukla,219,164,9,19,133.53658536585365,17.073170731707318
Death,SN Thakur,219,151,9,21,145.03311258278146,19.867549668874172
Death,BCJ Cutting,216,121,19,12,178.51239669421489,25.6198347107438
Death,A Ashish Reddy,214,146,10,13,146.57534246575344,15.753424657534246
Death,RA Tripathi,214,149,12,15,143.6241610738255,18.120805369127517
Death,RN ten Doeschate,212,140,11,17,151.42857142857142,20.0
Death,Q de Kock,210,103,10,23,203.88349514563106,32.038834951456316
Death,MR Marsh,208,135,15,13,154.07407407407408,20.74074074074074
Death,BA Stokes,206,125,10,16,164.79999999999998,20.8
Death,UT Yadav,205,188,9,16,109.04255319148936,13.297872340425531
Death,Harpreet Brar,204,149,9,15,136.91275167785236,16.10738255033557
Death,JC Archer,204,132,13,11,154.54545454545453,18.181818181818183
Death,C Green,203,102,10,18,199.01960784313727,27.450980392156865
Death,HV Patel,203,155,11,13,130.96774193548387,15.483870967741936
Death,R Dravid,200,119,9,21,168.0672268907563,25.210084033613445
Death,SE Rutherford,196,128,14,12,153.125,20.3125
Death,KC Sangakkara,195,128,4,24,152.34375,21.875
Death,TM Dilshan,191,114,9,16,167.54385964912282,21.929824561403507
Death,SC Ganguly,184,102,15,9,180.3921568627451,23.52941176470588
Death,Kuldeep Yadav,181,196,3,16,92.3469387755102,9.693877551020408
Death,RS Bopara,179,104,10,11,172.1153846153846,20.192307692307693
Death,Y Nagar,179,127,8,15,140.94488188976376,18.11023622047244
Death,JD Unadkat,178,141,6,14,126.24113475177306,14.184397163120568
Death,BB McCullum,177,95,10,13,186.31578947368422,24.210526315789473
Death,Abhishek Sharma,176,110,11,12,160.0,20.909090909090907
Death,CJ Anderson,175,104,15,8,168.26923076923077,22.115384615384613
Death,JO Holder,174,133,12,9,130.82706766917295,15.789473684210526
Death,Bipul Sharma,172,109,9,10,157.7981651376147,17.431192660550458
Death,R Dhawan,168,132,7,12,127.27272727272727,14.393939393939394
Death,DB Ravi Teja,167,120,6,15,139.16666666666666,17.5
Death,DR Smith,167,110,11,10,151.8181818181818,19.090909090909093
Death,K Gowtham,164,87,12,10,188.50574712643677,25.287356321839084
Death,R Sathish,164,118,4,15,138.98305084745763,16.101694915254235
Death,DW Steyn,163,151,3,14,107.94701986754967,11.258278145695364
Death,K Rabada,161,135,8,11,119.25925925925927,14.074074074074074
Death,J Botha,159,123,3,15,129.26829268292684,14.634146341463413
Death,CR Brathwaite,156,78,15,8,200.0,29.48717948717949
Death,MG Johnson,156,143,7,9,109.09090909090908,11.188811188811188
Death,SP Narine,156,121,10,11,128.92561983471074,17.355371900826448
Death,R Shepherd,155,66,14,12,234.84848484848487,39.39393939393939
Death,C de Grandhomme,154,112,10,6,137.5,14.285714285714285
Death,A Manohar,148,94,10,9,157.4468085106383,20.212765957446805
Death,TL Suman,144,106,6,10,135.8490566037736,15.09433962264151
Death,VR Iyer,144,90,7,15,160.0,24.444444444444443
Death,Anuj Rawat,142,81,9,11,175.30864197530863,24.691358024691358
Death,D Padikkal,138,96,2,20,143.75,22.916666666666664
Death,DJG Sammy,136,96,10,7,141.66666666666669,17.708333333333336
Death,SK Warne,136,131,4,10,103.81679389312977,10.687022900763358
Death,MF Maharoof,135,89,7,9,151.68539325842696,17.97752808988764
Death,S Gopal,135,104,2,15,129.80769230769232,16.346153846153847
Death,N Wadhera,133,76,11,9,175.0,26.31578947368421
Death,D Wiese,125,77,7,11,162.33766233766232,23.376623376623375
Death,M Vijay,125,71,7,9,176.05633802816902,22.535211267605636
Death,RD Chahar,125,108,5,13,115.74074074074075,16.666666666666664
Death,RM Patidar,125,67,11,8,186.56716417910448,28.35820895522388
Death,Ramandeep Singh,125,65,10,6,192.30769230769232,24.615384615384617
Death,AB Agarkar,123,91,3,9,135.16483516483518,13.186813186813188
Death,Azhar Mahmood,123,91,5,13,135.16483516483518,19.78021978021978
Death,KP Pietersen,123,69,7,10,178.26086956521738,24.637681159420293
Death,Mohammad Nabi,123,86,6,13,143.0232558139535,22.093023255813954
Death,AS Raut,120,103,6,6,116.50485436893203,11.650485436893204
Death,Nithish Kumar Reddy,118,66,8,8,178.78787878787878,24.242424242424242
Death,SW Billings,118,70,8,6,168.57142857142858,20.0
Death,DB Das,117,96,2,12,121.875,14.583333333333334
Death,M Jansen,117,107,6,6,109.34579439252336,11.214953271028037
Death,B Lee,112,86,7,8,130.2325581395349,17.441860465116278
Death,M Morkel,112,80,5,9,140.0,17.5
Death,Mohammed Siraj,112,121,4,10,92.56198347107438,11.570247933884298
Death,Z Khan,107,108,2,11,99.07407407407408,12.037037037037036
Death,TG Southee,106,79,4,7,134.17721518987344,13.924050632911392
Death,DS Kulkarni,99,98,2,7,101.0204081632653,9.183673469387756
Death,JEC Franklin,97,68,1,11,142.64705882352942,17.647058823529413
Death,DP Conway,96,62,2,11,154.83870967741936,20.967741935483872
Death,RJ Harris,96,86,3,5,111.62790697674419,9.30232558139535
Death,DH Yagnik,95,73,1,12,130.13698630136986,17.80821917808219
Death,PA Patel,95,71,2,9,133.80281690140845,15.492957746478872
Death,AL Menaria,91,78,2,9,116.66666666666667,14.102564102564102
Death,Lalit Yadav,89,77,2,9,115.5844155844156,14.285714285714285
Death,MM Sharma,89,89,3,6,100.0,10.112359550561797
Death,SL Malinga,86,96,5,6,89.58333333333334,11.458333333333332
Death,AB McDonald,80,65,2,5,123.07692307692308,10.76923076923077
Death,CJ Jordan,80,71,3,3,112.67605633802818,8.450704225352112
Death,M Kartik,78,76,1,3,102.63157894736842,5.263157894736842
Death,TA Boult,78,74,3,4,105.40540540540539,9.45945945945946
Death,GH Vihari,77,68,0,8,113.23529411764706,11.76470588235294
Death,MA Starc,74,84,0,7,88.09523809523809,8.333333333333332
Death,P Dogra,73,62,3,3,117.74193548387098,9.67741935483871
Death,Mohammed Shami,70,77,1,6,90.9090909090909,9.090909090909092
Death,RR Powar,67,60,1,6,111.66666666666667,11.666666666666666
Death,R Sharma,65,73,3,5,89.04109589041096,10.95890410958904
Death,JJ Bumrah,63,73,1,4,86.3013698630137,6.8493150684931505
Death,RP Singh,50,70,1,2,71.42857142857143,4.285714285714286
Death,VR Aaron,49,70,2,2,70.0,5.714285714285714
Death,A Nehra,39,60,1,3,65.0,6.666666666666667
Death,YS Chahal,33,63,0,0,52.38095238095239,0.0
Death,S Nadeem,30,66,0,2,45.45454545454545,3.0303030303030303
Middle,V Kohli,4058,3248,129,272,124.9384236453202,12.346059113300493
Middle,RG Sharma,3148,2589,101,250,121.591348010815,13.557358053302435
Middle,SK Raina,3074,2339,106,240,131.4236853356135,14.792646430098333
Middle,S Dhawan,2675,2115,55,242,126.47754137115838,14.042553191489363
Middle,DA Warner,2607,1939,98,176,134.45074780814855,14.130995358432182
Middle,AB de Villiers,2570,1957,93,179,131.32345426673479,13.898824731732242
Middle,SA Yadav,2563,1778,91,245,144.15073115860517,18.89763779527559
Middle,KD Karthik,2536,2074,56,239,122.27579556412729,14.223722275795565
Middle,SV Samson,2536,1849,122,150,137.15521903731747,14.710654407787993
Middle,AT Rayudu,2383,1971,82,177,120.90309487569762,13.140537798072044
Middle,RV Uthappa,2345,1829,97,180,128.21213778020777,15.14488791689448
Middle,KL Rahul,2192,1635,83,143,134.06727828746176,13.822629969418958
Middle,RR Pant,2121,1556,84,182,136.31105398457584,17.09511568123393
Middle,SS Iyer,2103,1566,89,143,134.2911877394636,14.814814814814813
Middle,MK Pandey,2098,1783,61,143,117.6668536174986,11.441390914189569
Middle,CH Gayle,2003,1285,163,102,155.87548638132296,20.622568093385212
Middle,AM Rahane,1997,1639,42,140,121.84258694325808,11.104331909701038
Middle,SR Watson,1997,1302,110,165,153.3794162826421,21.121351766513058
Middle,F du Plessis,1920,1522,65,109,126.14980289093299,11.432325886990801
Middle,MS Dhoni,1908,1898,56,113,100.52687038988408,8.904109589041095
Middle,GJ Maxwell,1776,1163,108,127,152.7085124677558,20.206362854686155
Middle,YK Pathan,1729,1294,89,123,133.61669242658422,16.383307573415763
Middle,Shubman Gill,1724,1204,61,121,143.1893687707641,15.11627906976744
Middle,JC Buttler,1721,1201,67,143,143.29725228975855,17.485428809325562
Middle,N Rana,1688,1251,84,127,134.93205435651478,16.866506794564348
Middle,G Gambhir,1665,1347,19,153,123.60801781737194,12.769116555308091
Middle,Yuvraj Singh,1655,1435,76,130,115.33101045296168,14.355400696864113
Middle,DA Miller,1592,1302,51,117,122.27342549923195,12.903225806451612
Middle,SE Marsh,1448,971,56,134,149.12461380020596,19.567456230690013
Middle,Ishan Kishan,1366,1019,64,96,134.05299313052012,15.701668302257115
Middle,KA Pollard,1352,1086,78,88,124.49355432780847,15.285451197053407
Middle,RA Jadeja,1337,1207,33,93,110.77050538525268,10.439105219552609
Middle,N Pooran,1284,772,96,83,166.32124352331604,23.186528497409327
Middle,SPD Smith,1276,1091,21,96,116.95692025664528,10.724106324472961
Middle,S Dube,1193,877,73,70,136.03192702394526,16.305587229190422
Middle,KS Williamson,1188,937,44,78,126.78762006403414,13.020277481323372
Middle,AD Russell,1174,767,92,82,153.0638852672751,22.685788787483702
Middle,Q de Kock,1165,886,41,91,131.48984198645599,14.89841986455982
Middle,HH Pandya,1159,867,54,83,133.679354094579,15.801614763552479
Middle,BB McCullum,1133,864,49,94,131.13425925925927,16.550925925925927
Middle,MA Agarwal,1092,781,42,85,139.82074263764403,16.261203585147246
Middle,R Dravid,1068,930,12,100,114.83870967741936,12.043010752688172
Middle,RA Tripathi,1059,785,36,85,134.9044585987261,15.414012738853502
Middle,V Sehwag,1054,611,54,96,172.5040916530278,24.549918166939445
Middle,RD Gaikwad,1041,732,44,69,142.21311475409837,15.437158469945356
Middle,DR Smith,1003,675,59,80,148.59259259259258,20.59259259259259
Middle,JH Kallis,995,1010,12,66,98.51485148514851,7.7227722772277225
Middle,WP Saha,987,898,22,65,109.9109131403118,9.688195991091314
Middle,KH Pandya,969,806,33,77,120.22332506203475,13.647642679900745
Middle,SR Tendulkar,967,828,13,93,116.78743961352657,12.80193236714976
Middle,KC Sangakkara,963,810,16,90,118.88888888888889,13.086419753086421
Middle,Tilak Varma,961,707,42,71,135.92644978783594,15.983026874115982
Middle,M Vijay,920,702,38,62,131.05413105413106,14.245014245014245
Middle,JP Duminy,911,876,25,40,103.99543378995433,7.4200913242009126
Middle,AJ Finch,898,658,39,72,136.4741641337386,16.869300911854104
Middle,H Klaasen,890,566,50,53,157.24381625441697,18.19787985865724
Middle,R Parag,889,673,42,60,132.09509658246657,15.156017830609212
Middle,MEK Hussey,887,708,23,69,125.2824858757062,12.994350282485875
Middle,B Sai Sudharsan,881,620,23,77,142.09677419354838,16.129032258064516
Middle,AR Patel,878,739,39,64,118.80920162381597,13.937753721244924
Middle,MK Tiwary,870,806,18,74,107.94044665012407,11.41439205955335
Middle,MP Stoinis,869,674,47,49,128.93175074183975,14.243323442136498
Middle,SS Tiwary,869,764,31,54,113.7434554973822,11.12565445026178
Middle,DJ Hooda,865,688,35,50,125.7267441860465,12.354651162790697
Middle,D Padikkal,856,674,33,66,127.00296735905046,14.688427299703264
Middle,PA Patel,846,718,16,73,117.82729805013928,12.395543175487465
Middle,S Badrinath,837,697,15,85,120.08608321377332,14.347202295552366
Middle,AK Markram,832,641,30,50,129.79719188767552,12.480499219968799
Middle,DPMD Jayawardene,823,727,17,67,113.20495185694635,11.554332874828061
Middle,RM Patidar,810,492,56,41,164.6341463414634,19.715447154471544
Middle,KK Nair,805,654,19,74,123.08868501529051,14.220183486238533
Middle,DJ Hussey,778,726,23,53,107.16253443526172,10.46831955922865
Middle,VR Iyer,722,521,32,51,138.57965451055662,15.930902111324377
Middle,YBK Jaiswal,721,522,29,57,138.1226053639847,16.47509578544061
Middle,EJG Morgan,714,641,26,57,111.38845553822152,12.948517940717629
Middle,Mandeep Singh,662,559,16,50,118.4257602862254,11.806797853309481
Middle,MM Ali,655,484,36,45,135.3305785123967,16.735537190082646
Middle,JM Bairstow,653,464,30,51,140.73275862068965,17.45689655172414
Middle,BJ Hodge,646,582,15,52,110.99656357388317,11.512027491408935
Middle,NV Ojha,645,535,32,37,120.56074766355141,12.897196261682243
Middle,Abhishek Sharma,636,376,44,39,169.14893617021275,22.074468085106382
Middle,SC Ganguly,630,638,17,52,98.7460815047022,10.815047021943574
Middle,AC Gilchrist,611,425,38,41,143.76470588235296,18.58823529411765
Middle,A Symonds,609,481,24,45,126.61122661122661,14.345114345114347
Middle,V Shankar,590,509,16,41,115.91355599214145,11.19842829076621
Middle,MR Marsh,581,430,30,42,135.11627906976744,16.74418604651163
Middle,KM Jadhav,572,488,13,48,117.21311475409837,12.5
Middle,LRPL Taylor,550,501,20,28,109.78043912175647,9.580838323353294
Middle,JM Sharma,548,387,28,45,141.60206718346254,18.863049095607234
Middle,LS Livingstone,539,386,32,33,139.63730569948189,16.83937823834197
Middle,N Wadhera,535,385,25,47,138.96103896103895,18.7012987012987
Middle,DJ Bravo,527,570,11,42,92.45614035087719,9.298245614035087
Middle,Y Venugopal Rao,522,487,20,36,107.18685831622177,11.498973305954825
Middle,DP Conway,520,341,21,45,152.4926686217009,19.35483870967742
Middle,PP Shaw,515,341,24,40,151.02639296187684,18.7683284457478
Middle,CA Lynn,508,370,28,30,137.2972972972973,15.675675675675677
Middle,MC Henriques,504,444,11,42,113.51351351351352,11.936936936936938
Middle,CL White,496,449,11,43,110.46770601336303,12.026726057906458
Middle,RK Singh,495,435,15,35,113.79310344827587,11.494252873563218
Middle,BA Stokes,488,389,15,34,125.44987146529563,12.596401028277635
Middle,SO Hetmyer,487,380,26,28,128.1578947368421,14.210526315789473
Middle,KP Pietersen,486,380,21,34,127.89473684210526,14.473684210526317
Middle,SP Narine,486,279,38,37,174.19354838709677,26.881720430107524
Middle,LMP Simmons,481,356,22,38,135.1123595505618,16.853932584269664
Middle,STR Binny,465,395,16,37,117.72151898734178,13.41772151898734
Middle,TM Dilshan,463,448,7,45,103.34821428571428,11.607142857142858
Middle,Shakib Al Hasan,429,366,10,39,117.21311475409837,13.387978142076504
Middle,P Simran Singh,422,270,28,28,156.29629629629628,20.74074074074074
Middle,A Badoni,419,335,14,31,125.07462686567163,13.432835820895523
Middle,ML Hayden,411,293,19,31,140.2730375426621,17.064846416382252
Middle,IK Pathan,395,437,10,16,90.38901601830663,5.949656750572083
Middle,SM Curran,389,348,10,27,111.7816091954023,10.632183908045976
Middle,TM Head,373,247,18,28,151.01214574898785,18.62348178137652
Middle,HH Gibbs,367,344,12,24,106.6860465116279,10.465116279069768
Middle,TL Suman,347,286,14,23,121.32867132867133,12.937062937062937
Middle,Nithish Kumar Reddy,334,248,15,23,134.6774193548387,15.32258064516129
Middle,M Vohra,330,261,12,24,126.4367816091954,13.793103448275861
Middle,C Green,323,245,17,17,131.83673469387756,13.877551020408163
Middle,D Brevis,321,207,25,16,155.07246376811594,19.806763285024154
Middle,JA Morkel,320,266,16,20,120.30075187969925,13.533834586466165
Middle,Shashank Singh,319,251,15,20,127.09163346613546,13.94422310756972
Middle,M Shahrukh Khan,318,238,23,18,133.61344537815125,17.22689075630252
Middle,R Tewatia,312,329,6,23,94.83282674772036,8.814589665653495
Middle,CJ Anderson,311,256,14,25,121.484375,15.234375
Middle,A Raghuvanshi,303,215,8,29,140.93023255813955,17.209302325581397
Middle,PD Salt,298,167,17,27,178.4431137724551,26.34730538922156
Middle,AM Nayar,297,307,7,17,96.74267100977198,7.81758957654723
Middle,AL Menaria,296,268,14,15,110.44776119402985,10.820895522388058
Middle,GC Smith,291,239,8,24,121.75732217573221,13.389121338912133
Middle,AD Mathews,289,282,9,14,102.4822695035461,8.156028368794328
Middle,Abishek Porel,287,200,12,20,143.5,16.0
Middle,R Ashwin,279,276,8,16,101.08695652173914,8.695652173913043
Middle,T Stubbs,278,240,11,12,115.83333333333334,9.583333333333334
Middle,Abdul Samad,271,213,14,19,127.2300469483568,15.492957746478872
Middle,MS Bisla,268,234,10,15,114.52991452991452,10.683760683760683
Middle,Dhruv Jurel,265,209,13,21,126.79425837320575,16.267942583732058
Middle,MK Lomror,265,192,18,10,138.02083333333331,14.583333333333334
Middle,Shahbaz Ahmed,260,242,8,14,107.43801652892562,9.090909090909092
Middle,SW Billings,254,218,11,14,116.51376146788989,11.46788990825688
Middle,ST Jayasuriya,253,165,12,23,153.33333333333334,21.21212121212121
Middle,RR Rossouw,250,168,16,16,148.80952380952382,19.047619047619047
Middle,Azhar Mahmood,243,188,7,23,129.25531914893617,15.957446808510639
Middle,WG Jacks,238,168,14,17,141.66666666666669,18.452380952380953
Middle,Gurkeerat Singh,225,223,0,24,100.89686098654708,10.762331838565023
Middle,M Manhas,224,232,2,19,96.55172413793103,9.051724137931034
Middle,RS Bopara,222,205,3,17,108.29268292682927,9.75609756097561
Middle,SN Khan,218,212,3,20,102.8301886792453,10.849056603773585
