era,player,runs,balls_faced,innings,matches,strike_rate,avg_per_innings,boundary_pct,dot_pct,six_of_boundaries_pct,impact_score
2013-2017,KV Sharma,316,271,2,33,116.60516605166052,158.0,11.808118081180812,38.00738007380074,43.75,0.15211683219789937
2013-2017,R Bhatia,216,171,2,24,126.3157894736842,108.0,12.865497076023392,35.08771929824561,40.909090909090914,0.1517574286550225
2013-2017,MJ Guptill,183,142,2,10,128.8732394366197,91.5,19.014084507042252,45.07042253521127,25.925925925925924,0.15004477834675756
2013-2017,JA Morkel,193,152,2,12,126.9736842105263,96.5,14.473684210526317,37.5,45.45454545454545,0.14779334023651952
2013-2017,Azhar Mahmood,202,161,2,11,125.46583850931677,101.0,17.391304347826086,39.130434782608695,17.857142857142858,0.14626407479766737
2013-2017,R Sathish,132,100,2,11,132.0,66.0,16.0,38.0,37.5,0.145363904312527
2013-2017,Gurkeerat Singh,256,220,2,20,116.36363636363636,128.0,14.09090909090909,38.18181818181819,22.58064516129032,0.1369526723362502
2013-2017,MR Marsh,147,117,2,9,125.64102564102564,73.5,13.675213675213676,38.46153846153847,62.5,0.13334060825913496
2013-2017,MP Stoinis,163,132,2,8,123.48484848484848,81.5,13.636363636363635,35.60606060606061,22.22222222222222,0.1319138862112023
2013-2017,DPMD Jayawardene,331,312,2,15,106.08974358974359,165.5,14.423076923076922,47.756410256410255,13.333333333333334,0.1298539639899563
2013-2017,MS Bisla,295,274,2,17,107.66423357664235,147.5,17.88321167883212,54.379562043795616,14.285714285714285,0.12499129630712605
2013-2017,RS Bopara,145,120,2,8,120.83333333333333,72.5,10.0,30.833333333333336,50.0,0.1210110325157005
2013-2017,CL White,226,196,3,13,115.3061224489796,75.33333333333333,13.77551020408163,40.816326530612244,33.33333333333333,0.11852555204863434
2013-2017,PP Chawla,178,155,2,26,114.83870967741936,89.0,15.483870967741936,44.516129032258064,25.0,0.11425607125627593
2013-2017,CM Gautam,169,149,2,13,113.42281879194631,84.5,15.436241610738255,50.33557046979866,26.08695652173913,0.10858259748155713
2013-2017,UBT Chand,262,253,2,16,103.55731225296442,131.0,14.229249011857709,49.40711462450593,16.666666666666664,0.10686070718093488
2013-2017,R Dhawan,153,135,2,16,113.33333333333333,76.5,12.592592592592592,41.48148148148148,23.52941176470588,0.10447704201527222
2013-2017,BB Samantray,123,111,2,7,110.8108108108108,61.5,13.513513513513514,40.54054054054054,13.333333333333334,0.09097813828735896
2013-2017,R Ashwin,173,164,2,22,105.48780487804879,86.5,11.585365853658537,38.41463414634146,10.526315789473683,0.09000565708639673
2013-2017,MM Sharma,112,102,2,20,109.80392156862746,56.0,11.76470588235294,42.15686274509804,33.33333333333333,0.08582661795862917
2013-2017,CA Pujara,217,222,2,10,97.74774774774775,108.5,13.963963963963963,49.549549549549546,0.0,0.08162176170254014
2013-2017,IK Pathan,221,225,3,23,98.22222222222223,73.66666666666667,8.444444444444445,38.22222222222222,21.052631578947366,0.0754134805900996
2013-2017,GH Vihari,277,311,2,21,89.06752411575563,138.5,7.717041800643088,42.443729903536976,4.166666666666666,0.0748068339868087
2013-2017,S Badrinath,124,120,2,7,103.33333333333334,62.0,9.166666666666666,35.833333333333336,0.0,0.07279989966157759
2013-2017,MG Johnson,151,153,2,26,98.69281045751634,75.5,9.803921568627452,48.36601307189542,46.666666666666664,0.0679239043285265
2013-2017,B Kumar,117,116,2,24,100.86206896551724,58.5,12.068965517241379,49.137931034482754,21.428571428571427,0.06501211018330391
2013-2017,MC Juneja,125,128,2,7,97.65625,62.5,9.375,37.5,8.333333333333332,0.05905700229087976
2013-2017,P Kumar,95,100,2,20,95.0,47.5,10.0,45.0,30.0,0.0452286557019556
2013-2017,LRPL Taylor,122,135,2,9,90.37037037037037,61.0,6.666666666666667,40.74074074074074,11.11111111111111,0.04037949630612068
2013-2017,A Mishra,154,180,2,20,85.55555555555556,77.0,7.222222222222221,44.44444444444444,15.384615384615385,0.03628822114817283
2013-2017,KC Sangakkara,120,136,2,9,88.23529411764706,60.0,9.558823529411764,44.85294117647059,0.0,0.03463401454352831
2013-2017,PA Reddy,91,101,2,7,90.0990099009901,45.5,8.91089108910891,43.56435643564357,0.0,0.032183599139371556
2013-2017,AM Nayar,105,119,2,13,88.23529411764706,52.5,8.403361344537815,47.89915966386555,10.0,0.030991729031842916
2018-2022,KL Rahul,3168,2277,3,69,139.1304347826087,1056.0,17.830478700043916,33.509003074220466,34.48275862068966,0.7804549789044606
2018-2022,JC Buttler,2285,1522,2,57,150.13140604467804,1142.5,21.944809461235216,37.582128777923785,32.035928143712574,0.7128207113331122
2018-2022,S Dhawan,2675,2012,3,79,132.95228628230615,891.6666666666666,18.141153081510936,34.24453280318092,18.08219178082192,0.6641485362773234
2018-2022,SV Samson,2094,1444,2,71,145.01385041551248,1047.0,18.559556786703602,33.03324099722992,37.6865671641791,0.6538349777540302
2018-2022,F du Plessis,2106,1591,2,63,132.3695788812068,1053.0,17.347580138277813,36.26649905719673,25.724637681159418,0.6255991496512237
2018-2022,SA Yadav,2033,1464,2,66,138.86612021857923,1016.5,20.01366120218579,35.51912568306011,21.501706484641637,0.6238778433475081
2018-2022,RR Pant,2272,1546,4,73,146.95989650711513,568.0,20.18111254851229,33.18240620957309,31.41025641025641,0.5731111257955577
2018-2022,Shubman Gill,1894,1511,2,70,125.34745201853077,947.0,15.486432825943083,34.612839179351425,20.085470085470085,0.5568222307743416
2018-2022,V Kohli,2203,1721,3,74,128.00697269029635,734.3333333333334,14.816966879721091,32.074375363160954,23.137254901960784,0.5551851392641374
2018-2022,N Rana,1737,1283,2,70,135.38581449727204,868.5,19.01792673421668,39.82852689010132,34.83606557377049,0.543429540247051
2018-2022,PP Shaw,1587,1074,2,63,147.76536312849163,793.5,22.998137802607076,37.523277467411546,22.267206477732792,0.5375041864367588
2018-2022,Q de Kock,2034,1514,3,66,134.3461030383091,678.0,17.899603698811095,37.714663143989426,30.996309963099634,0.5361495215274765
2018-2022,AD Russell,1451,804,3,56,180.4726368159204,483.6666666666667,28.109452736318406,40.92039800995025,60.61946902654868,0.5302438110869829
2018-2022,AT Rayudu,1756,1371,2,68,128.08169219547776,878.0,16.484318016046682,37.053245805981035,36.72566371681416,0.5300491114777574
2018-2022,AB de Villiers,1688,1060,3,52,159.24528301886792,562.6666666666666,20.849056603773587,29.71698113207547,42.98642533936652,0.5265446516044937
2018-2022,DA Warner,1868,1356,3,48,137.75811209439527,622.6666666666666,17.10914454277286,33.775811209439524,24.137931034482758,0.5105179560368753
2018-2022,SS Iyer,1966,1583,3,68,124.19456727732154,655.3333333333334,14.213518635502211,34.04927353126974,29.777777777777775,0.4971978744695757
2018-2022,Ishan Kishan,1543,1160,2,55,133.01724137931035,771.5,17.5,37.5,35.467980295566505,0.4904875752924837
2018-2022,RA Tripathi,1398,1006,2,60,138.96620278330022,699.0,18.09145129224652,34.09542743538768,28.021978021978022,0.469934313991217
2018-2022,JM Bairstow,1289,901,2,39,143.06326304106548,644.5,20.865704772475027,39.289678135405104,29.25531914893617,0.45356030715263623
2018-2022,KD Karthik,1468,993,3,73,147.83484390735146,489.3333333333333,20.342396777442097,33.131923464249745,31.18811881188119,0.4533250698010741
2018-2022,MS Dhoni,1396,1071,2,62,130.3454715219421,698.0,15.406162464985995,37.254901960784316,42.42424242424242,0.4482111679379467
2018-2022,MA Agarwal,1511,1069,3,59,141.34705332086062,503.6666666666667,18.896164639850326,34.05051449953228,28.71287128712871,0.44615900508578765
2018-2022,KS Williamson,1690,1348,3,59,125.37091988130564,563.3333333333334,14.910979228486648,34.718100890207715,26.368159203980102,0.4435039222225261
2018-2022,RG Sharma,1661,1311,3,68,126.69717772692601,553.6666666666666,17.620137299771166,42.028985507246375,29.004329004329005,0.44082495533738403
2018-2022,SR Watson,1252,916,2,43,136.6812227074236,626.0,20.41484716157205,43.5589519650655,36.36363636363637,0.42885359739639445
