bowler,balls,runs,wickets,dots,matches,economy,sr,dot_pct,avg
R Shepherd,234,453,15,73,16,11.615384615384615,15.6,31.196581196581196,30.2
Mohammad Nabi,417,524,15,153,23,7.53956834532374,27.8,36.69064748201439,34.93333333333333
DR Sams,360,492,15,144,16,8.2,24.0,40.0,32.8
SJ Srivastava,282,412,15,106,14,8.76595744680851,18.8,37.5886524822695,27.466666666666665
AN Ahmed,344,468,15,131,17,8.162790697674419,22.933333333333334,38.08139534883721,31.2
PVD Chameera,384,606,15,152,19,9.46875,25.6,39.58333333333333,40.4
G Coetzee,273,463,15,102,14,10.175824175824175,18.2,37.362637362637365,30.866666666666667
YA Abdulla,209,294,15,92,11,8.440191387559809,13.933333333333334,44.01913875598086,19.6
KR Sen,241,373,14,89,12,9.28630705394191,17.214285714285715,36.92946058091287,26.642857142857142
Karanveer Singh,204,314,14,66,9,9.23529411764706,14.571428571428571,32.35294117647059,22.428571428571427
Kamran Khan,166,236,14,71,9,8.53012048192771,11.857142857142858,42.77108433734939,16.857142857142858
KA Jamieson,258,397,14,104,13,9.232558139534884,18.428571428571427,40.310077519379846,28.357142857142858
CJ Anderson,297,504,14,86,22,10.181818181818182,21.214285714285715,28.95622895622896,36.0
S Lamichhane,210,296,14,77,9,8.457142857142857,15.0,36.666666666666664,21.142857142857142
AB McDonald,186,261,14,52,10,8.419354838709678,13.285714285714286,27.956989247311824,18.642857142857142
GD McGrath,324,360,14,162,14,6.666666666666667,23.142857142857142,50.0,25.714285714285715
JR Hopes,360,553,14,119,20,9.216666666666667,25.714285714285715,33.05555555555556,39.5
DS Rathi,312,421,14,98,13,8.096153846153847,22.285714285714285,31.41025641025641,30.071428571428573
RR Powar,426,512,14,174,26,7.211267605633803,30.428571428571427,40.845070422535215,36.57142857142857
R McLaren,354,529,14,128,18,8.966101694915254,25.285714285714285,36.15819209039548,37.785714285714285
DJG Sammy,236,343,14,75,19,8.720338983050848,16.857142857142858,31.779661016949152,24.5
Umar Gul,135,173,14,59,6,7.688888888888888,9.642857142857142,43.7037037037037,12.357142857142858
SM Pollock,276,303,13,132,13,6.586956521739131,21.23076923076923,47.82608695652174,23.307692307692307
RS Bopara,206,285,13,66,14,8.300970873786408,15.846153846153847,32.038834951456316,21.923076923076923
TK Curran,238,415,13,59,13,10.46218487394958,18.307692307692307,24.789915966386555,31.923076923076923
CK Langeveldt,156,190,13,75,7,7.307692307692307,12.0,48.07692307692308,14.615384615384615
