bowler,balls,runs,wickets,dots,matches,economy,sr,dot_pct,avg
S Randiv,174,217,8,60,8,7.482758620689656,21.75,34.48275862068966,27.125
I Udana,174,278,8,49,10,9.586206896551724,21.75,28.160919540229884,34.75
M Ntini,210,252,8,108,9,7.199999999999999,26.25,51.42857142857142,31.5
JDS Neesham,216,336,8,68,13,9.333333333333334,27.0,31.48148148148148,42.0
AA Chavan,248,331,8,110,13,8.008064516129032,31.0,44.354838709677416,41.375
A Mithun,288,440,8,95,16,9.166666666666666,36.0,32.98611111111111,55.0
GC Viljoen,138,217,8,47,6,9.434782608695652,17.25,34.05797101449276,27.125
KC Cariappa,216,335,8,62,11,9.305555555555555,27.0,28.703703703703702,41.875
AM Salvi,150,195,7,61,7,7.800000000000001,21.428571428571427,40.666666666666664,27.857142857142858
C de Grandhomme,216,299,7,62,19,8.305555555555555,30.857142857142858,28.703703703703702,42.714285714285715
HF Gurney,162,231,7,51,8,8.555555555555555,23.142857142857142,31.48148148148148,33.0
TL Suman,150,195,7,44,11,7.800000000000001,21.428571428571427,29.333333333333332,27.857142857142858
Y Venugopal Rao,216,330,7,60,20,9.166666666666666,30.857142857142858,27.77777777777778,47.142857142857146
B Akhil,188,239,7,64,13,7.627659574468085,26.857142857142858,34.04255319148936,34.142857142857146
KM Asif,133,218,7,46,7,9.834586466165414,19.0,34.58646616541353,31.142857142857142
D Pretorius,150,226,7,46,7,9.04,21.428571428571427,30.666666666666664,32.285714285714285
B Stanlake,144,194,7,64,6,8.083333333333334,20.571428571428573,44.44444444444444,27.714285714285715
DJ Willey,216,272,7,84,11,7.555555555555555,30.857142857142858,38.88888888888889,38.857142857142854
P Amarnath,132,241,7,34,6,10.954545454545453,18.857142857142858,25.757575757575758,34.42857142857143
Prince Yadav,155,235,7,53,7,9.096774193548388,22.142857142857142,34.193548387096776,33.57142857142857
RR Raje,139,204,7,41,10,8.805755395683454,19.857142857142858,29.496402877697843,29.142857142857142
PC Valthaty,151,201,7,46,10,7.986754966887417,21.571428571428573,30.4635761589404,28.714285714285715
R Shukla,120,206,7,44,7,10.299999999999999,17.142857142857142,36.666666666666664,29.428571428571427
Swapnil Singh,162,237,7,39,14,8.777777777777779,23.142857142857142,24.074074074074073,33.857142857142854
K Khejroliya,139,239,6,40,8,10.316546762589928,23.166666666666668,28.776978417266186,39.833333333333336
V Sehwag,136,230,6,45,15,10.147058823529411,22.666666666666668,33.088235294117645,38.333333333333336
VS Malik,205,260,6,88,13,7.609756097560975,34.166666666666664,42.926829268292686,43.333333333333336
AK Markram,193,284,6,50,20,8.82901554404145,32.166666666666664,25.906735751295333,47.333333333333336
SS Cottrell,120,162,6,59,6,8.100000000000001,20.0,49.166666666666664,27.0
SB Bangar,150,214,6,57,9,8.56,25.0,38.0,35.666666666666664
Fazalhaq Farooqi,254,428,6,83,12,10.11023622047244,42.333333333333336,32.677165354330704,71.33333333333333
R Sathish,139,228,6,31,14,9.841726618705035,23.166666666666668,22.302158273381295,38.0
FH Edwards,140,146,6,75,6,6.257142857142858,23.333333333333332,53.57142857142857,24.333333333333332
S Dube,124,213,6,27,15,10.306451612903226,20.666666666666668,21.774193548387096,35.5
S Tyagi,209,292,6,99,14,8.382775119617225,34.833333333333336,47.368421052631575,48.666666666666664
S Kaushik,204,298,6,72,10,8.76470588235294,34.0,35.294117647058826,49.666666666666664
S Ladda,138,221,5,49,9,9.608695652173914,27.6,35.507246376811594,44.2
TM Dilshan,271,363,5,81,25,8.03690036900369,54.2,29.88929889298893,72.6
SH Johnson,164,281,5,61,9,10.28048780487805,32.8,37.19512195121951,56.2
KL Nagarkoti,180,282,5,52,11,9.4,36.0,28.888888888888886,56.4
HR Shokeen,204,305,5,82,13,8.970588235294118,40.8,40.19607843137255,61.0
V Kohli,251,350,5,55,26,8.366533864541832,50.2,21.91235059760956,70.0
RJW Topley,120,217,5,44,6,10.85,24.0,36.666666666666664,43.4
DP Vijaykumar,152,196,4,69,9,7.7368421052631575,38.0,45.39473684210527,49.0
LE Plunkett,150,224,4,42,7,8.96,37.5,28.000000000000004,56.0
Parvez Rasool,198,270,4,62,11,8.181818181818182,49.5,31.313131313131315,67.5
MJ Henry,120,219,3,35,7,10.95,40.0,29.166666666666668,73.0
T Shamsi,120,185,3,32,5,9.25,40.0,26.666666666666668,61.666666666666664
Mayank Dagar,137,200,2,44,8,8.75912408759124,68.5,32.11678832116788,100.0
