era,player,wickets,balls_bowled,matches,economy,bowling_sr,bowling_avg,dot_pct,impact_score
2008-2012,KK Cooper,10,144,6,7.583333333333333,14.4,18.2,43.05555555555556,0.5040455126763909
2008-2012,JP Duminy,10,318,21,6.981132075471698,31.8,37.0,40.25157232704403,0.502494692775634
2008-2012,S Nadeem,12,384,17,7.171875,32.0,38.25,33.85416666666667,0.5016482422483968
2008-2012,MN Samuels,9,172,8,7.395348837209302,19.11111111111111,23.555555555555557,38.95348837209303,0.500960935310582
2008-2012,RG Sharma,15,306,26,7.901960784313726,20.4,26.866666666666667,28.431372549019606,0.5001008050001798
2008-2012,Mohammad Hafeez,2,60,4,6.4,30.0,32.0,41.66666666666667,0.4998350243429702
2008-2012,MR Marsh,9,145,8,7.655172413793104,16.11111111111111,20.555555555555557,36.55172413793103,0.4947284941568568
2008-2012,M Ntini,8,210,9,7.199999999999999,26.25,31.5,51.42857142857142,0.4944658397389272
2008-2012,LR Shukla,15,240,20,8.25,16.0,22.0,35.833333333333336,0.49233636477885667
2008-2012,S Randiv,8,174,8,7.482758620689656,21.75,27.125,34.48275862068966,0.4895745423488941
2008-2012,KP Appanna,11,216,13,7.861111111111111,19.636363636363637,25.727272727272727,32.407407407407405,0.4881573249354756
2008-2012,YA Abdulla,15,209,11,8.440191387559809,13.933333333333334,19.6,44.01913875598086,0.48757616312662977
2008-2012,SB Styris,9,216,11,7.555555555555555,24.0,30.22222222222222,39.351851851851855,0.4867998845315288
2008-2012,JD Ryder,11,236,16,7.830508474576272,21.454545454545453,28.0,35.59322033898305,0.48664847042570303
2008-2012,Shahid Afridi,9,180,10,7.733333333333334,20.0,25.77777777777778,36.11111111111111,0.48551719872852916
2008-2012,CH Gayle,14,453,28,7.748344370860927,32.357142857142854,41.785714285714285,34.87858719646799,0.4844892423962178
2008-2012,SC Ganguly,12,276,20,7.934782608695652,23.0,30.416666666666668,29.71014492753623,0.4836410488311289
2008-2012,Kamran Khan,14,166,9,8.53012048192771,11.857142857142858,16.857142857142858,42.77108433734939,0.48330443599038353
2008-2012,AB McDonald,13,174,9,8.413793103448276,13.384615384615385,18.76923076923077,27.586206896551722,0.48210887039249606
2008-2012,AD Mathews,15,395,22,8.126582278481012,26.333333333333332,35.666666666666664,29.620253164556964,0.48165657236576026
2008-2012,Ankit Sharma,4,145,9,6.827586206896552,36.25,41.25,43.44827586206896,0.47985646229289775
2008-2012,BAW Mendis,7,172,7,7.674418604651163,24.571428571428573,31.428571428571427,29.069767441860467,0.4735648898500541
2008-2012,A Ashish Reddy,11,163,9,8.392638036809815,14.818181818181818,20.727272727272727,34.355828220858896,0.47338787526854964
2008-2012,AM Salvi,7,150,7,7.800000000000001,21.428571428571427,27.857142857142858,40.666666666666664,0.4731446129710554
2008-2012,B Akhil,7,188,13,7.627659574468085,26.857142857142858,34.142857142857146,34.04255319148936,0.47201334185781657
2008-2012,DR Smith,10,251,20,7.98406374501992,25.1,33.4,36.254980079681275,0.47096478190200564
2008-2012,VR Aaron,11,258,11,8.13953488372093,23.454545454545453,31.818181818181817,42.63565891472868,0.47071000924444545
2008-2012,BA Bhatt,12,266,13,8.300751879699249,22.166666666666668,30.666666666666668,32.33082706766917,0.4696683128751956
2008-2012,TL Suman,6,138,10,7.782608695652174,23.0,29.833333333333332,28.985507246376812,0.4677594063185026
2008-2012,SJ Srivastava,15,282,14,8.76595744680851,18.8,27.466666666666665,37.5886524822695,0.4665508327085932
2008-2012,WA Mota,4,72,7,7.833333333333334,18.0,23.5,34.72222222222222,0.46589437434577446
2008-2012,PC Valthaty,7,151,10,7.986754966887417,21.571428571428573,28.714285714285715,30.4635761589404,0.46514441596107065
2008-2012,V Pratap Singh,12,204,9,8.617647058823529,17.0,24.416666666666668,36.76470588235294,0.4643754458178102
2008-2012,VRV Singh,16,360,18,8.799999999999999,22.5,33.0,33.611111111111114,0.46317072921285796
2008-2012,P Parameswaran,9,154,8,8.376623376623376,17.11111111111111,23.88888888888889,42.857142857142854,0.46313685697495927
2008-2012,AN Ahmed,7,144,8,8.125,20.571428571428573,27.857142857142858,37.5,0.4609153866496136
2008-2012,JD Unadkat,10,188,10,8.457446808510639,18.8,26.5,33.51063829787234,0.46088692411779386
2008-2012,Bipul Sharma,8,178,11,8.191011235955056,22.25,30.375,33.146067415730336,0.45929842651590824
2008-2012,RV Gomez,5,90,8,8.266666666666666,18.0,24.8,37.77777777777778,0.4515425224960379
2008-2012,JE Taylor,6,117,5,8.307692307692307,19.5,27.0,46.15384615384615,0.45124005388918675
2008-2012,JP Faulkner,4,60,3,8.3,15.0,20.75,40.0,0.4510434711062893
2008-2012,JEC Franklin,9,151,15,8.701986754966889,16.77777777777778,24.333333333333332,27.1523178807947,0.45009044301255396
2008-2012,JDP Oram,13,213,13,9.098591549295774,16.384615384615383,24.846153846153847,33.80281690140845,0.44898206061626933
2008-2012,Joginder Sharma,13,256,15,9.0,19.692307692307693,29.53846153846154,28.515625,0.4480253682027525
2008-2012,SB Wagh,5,102,8,8.294117647058822,20.4,28.2,49.01960784313725,0.4467238986843852
2008-2012,HV Patel,9,246,11,8.512195121951219,27.333333333333332,38.77777777777778,35.36585365853659,0.4418359679335164
2008-2012,AL Menaria,3,110,12,7.636363636363637,36.666666666666664,46.666666666666664,36.36363636363637,0.4418157071984109
2008-2012,AA Chavan,7,194,10,8.350515463917525,27.714285714285715,38.57142857142857,42.2680412371134,0.4405819061240628
2008-2012,R McLaren,10,312,16,8.5,31.2,44.2,35.256410256410255,0.44012723750168437
2008-2012,DP Vijaykumar,4,152,9,7.7368421052631575,38.0,49.0,45.39473684210527,0.43929123416392335
2008-2012,AM Nayar,7,181,16,8.486187845303867,25.857142857142858,36.57142857142857,31.491712707182316,0.4377725109781324
2008-2012,Anand Rajan,8,101,6,9.089108910891088,12.625,19.125,36.633663366336634,0.4366153014231794
2008-2012,RR Raje,7,139,10,8.805755395683454,19.857142857142858,29.142857142857142,29.496402877697843,0.43364427878585704
2008-2012,JR Hopes,14,360,20,9.216666666666667,25.714285714285715,39.5,33.05555555555556,0.4334805594079271
2008-2012,SB Bangar,6,150,9,8.56,25.0,35.666666666666664,38.0,0.43230574117276954
2008-2012,J Syed Mohammad,6,132,7,8.727272727272727,22.0,32.0,29.545454545454547,0.42992958540654685
2008-2012,RS Bopara,5,86,7,8.930232558139535,17.2,25.6,30.23255813953488,0.42511888800866504
2008-2012,Pankaj Singh,11,300,17,9.1,27.272727272727273,41.36363636363637,38.333333333333336,0.4248443042372464
2008-2012,S Tyagi,6,209,14,8.382775119617225,34.833333333333336,48.666666666666664,47.368421052631575,0.4246335039125048
2008-2012,TG Southee,4,114,5,8.526315789473685,28.5,40.5,38.59649122807017,0.42094271113410825
2008-2012,Shoaib Ahmed,5,102,7,9.0,20.4,30.6,34.31372549019608,0.41731213398200423
2008-2012,Mohammad Asif,9,192,8,9.34375,21.333333333333332,33.22222222222222,36.97916666666667,0.4163749304242309
2008-2012,NLTC Perera,5,105,7,9.028571428571428,21.0,31.6,27.61904761904762,0.4152029495511409
2008-2012,DJ Hussey,8,234,21,9.0,29.25,43.875,28.63247863247863,0.41487229854521124
2008-2012,Jaskaran Singh,6,102,7,9.352941176470589,17.0,26.5,41.17647058823529,0.4115159686974802
2008-2012,TM Dilshan,5,265,24,7.992452830188679,53.0,70.6,30.566037735849054,0.40937678498374164
2008-2012,STR Binny,3,90,10,8.666666666666666,30.0,43.333333333333336,17.77777777777778,0.40909428361343864
2008-2012,VS Malik,3,127,9,8.220472440944881,42.333333333333336,58.0,40.15748031496063,0.40880115140542794
2008-2012,MC Henriques,3,97,5,8.597938144329897,32.333333333333336,46.333333333333336,35.051546391752574,0.4083852177750729
2008-2012,DNT Zoysa,2,66,3,8.545454545454547,33.0,47.0,37.878787878787875,0.4058475437570284
2008-2012,Y Venugopal Rao,7,204,18,9.23529411764706,29.142857142857142,44.857142857142854,27.941176470588236,0.4015287283170331
2008-2012,R Sathish,3,79,8,9.037974683544304,26.333333333333332,39.666666666666664,26.582278481012654,0.3992374443819443
2008-2012,AP Dole,5,66,3,9.727272727272727,13.2,21.4,31.818181818181817,0.39803360256892817
